state,date,sex,age,abs,rate
Johor,2022-01-01,female,all,26539,25.8
Johor,2022-01-01,female,< 20,723,1.2
Johor,2022-01-01,female,20-24,6687,50.4
Johor,2022-01-01,female,25-29,10758,152.0
Johor,2022-01-01,female,30-34,3996,109.3
Johor,2022-01-01,female,35-39,1862,68.4
Johor,2022-01-01,female,40-44,972,87.1
Johor,2022-01-01,female,45-49,639,52.8
Johor,2022-01-01,female,50-54,408,17.5
Johor,2022-01-01,female,55-59,269,11.4
Johor,2022-01-01,female,60-64,144,5.5
Johor,2022-01-01,female,65+,81,1.0
Johor,2022-01-01,male,all,26166,21.1
Johor,2022-01-01,male,< 20,163,0.2
Johor,2022-01-01,male,20-24,4234,22.1
Johor,2022-01-01,male,25-29,10902,85.7
Johor,2022-01-01,male,30-34,5316,83.4
Johor,2022-01-01,male,35-39,2213,57.1
Johor,2022-01-01,male,40-44,1174,69.1
Johor,2022-01-01,male,45-49,717,61.2
Johor,2022-01-01,male,50-54,484,37.2
Johor,2022-01-01,male,55-59,341,30.4
Johor,2022-01-01,male,60-64,260,22.3
Johor,2022-01-01,male,65+,362,9.4
Kedah,2017-01-01,female,all,13612,23.08
Kedah,2017-01-01,female,< 20,566,1.59
Kedah,2017-01-01,female,20-24,4565,57.93
Kedah,2017-01-01,female,25-29,5527,178.96
Kedah,2017-01-01,female,30-34,1610,134.13
Kedah,2017-01-01,female,35-39,594,79.9
Kedah,2017-01-01,female,40-44,283,40.42
Kedah,2017-01-01,female,45-49,195,24.01
Kedah,2017-01-01,female,50-54,120,11.25
Kedah,2017-01-01,female,55-59,83,6.76
Kedah,2017-01-01,female,60-64,38,2.48
Kedah,2017-01-01,female,65+,31,0.62
Kedah,2017-01-01,male,all,12577,20.83
Kedah,2017-01-01,male,< 20,152,0.39
Kedah,2017-01-01,male,20-24,2511,25.63
Kedah,2017-01-01,male,25-29,5634,105.46
Kedah,2017-01-01,male,30-34,2316,111.18
Kedah,2017-01-01,male,35-39,797,74.3
Kedah,2017-01-01,male,40-44,408,64.74
Kedah,2017-01-01,male,45-49,239,56.49
Kedah,2017-01-01,male,50-54,157,38.67
Kedah,2017-01-01,male,55-59,124,34.9
Kedah,2017-01-01,male,60-64,100,26.67
Kedah,2017-01-01,male,65+,139,10.34
Kedah,2018-01-01,female,all,16123,27.2
Kedah,2018-01-01,female,< 20,635,1.8
Kedah,2018-01-01,female,20-24,5396,67.4
Kedah,2018-01-01,female,25-29,6429,202.0
Kedah,2018-01-01,female,30-34,1911,156.2
Kedah,2018-01-01,female,35-39,719,94.6
Kedah,2018-01-01,female,40-44,329,47.4
Kedah,2018-01-01,female,45-49,275,33.9
Kedah,2018-01-01,female,50-54,183,17.0
Kedah,2018-01-01,female,55-59,111,8.9
Kedah,2018-01-01,female,60-64,68,4.3
Kedah,2018-01-01,female,65+,67,1.3
Kedah,2018-01-01,male,all,14257,23.5
Kedah,2018-01-01,male,< 20,190,0.5
Kedah,2018-01-01,male,20-24,2966,29.5
Kedah,2018-01-01,male,25-29,6228,112.4
Kedah,2018-01-01,male,30-34,2514,119.2
Kedah,2018-01-01,male,35-39,921,84.3
Kedah,2018-01-01,male,40-44,432,68.0
Kedah,2018-01-01,male,45-49,270,63.6
Kedah,2018-01-01,male,50-54,206,51.0
Kedah,2018-01-01,male,55-59,184,50.8
Kedah,2018-01-01,male,60-64,122,31.7
Kedah,2018-01-01,male,65+,224,16.0
Kedah,2019-01-01,female,all,16420,27.7
Kedah,2019-01-01,female,< 20,614,1.8
Kedah,2019-01-01,female,20-24,5254,65.4
Kedah,2019-01-01,female,25-29,6613,202.3
Kedah,2019-01-01,female,30-34,2015,162.5
Kedah,2019-01-01,female,35-39,757,97.6
Kedah,2019-01-01,female,40-44,417,60.4
Kedah,2019-01-01,female,45-49,285,35.4
Kedah,2019-01-01,female,50-54,226,20.9
Kedah,2019-01-01,female,55-59,111,8.9
Kedah,2019-01-01,female,60-64,76,4.7
Kedah,2019-01-01,female,65+,52,1.0
Kedah,2019-01-01,male,all,14384,23.8
Kedah,2019-01-01,male,< 20,173,0.5
Kedah,2019-01-01,male,20-24,2795,27.7
Kedah,2019-01-01,male,25-29,6346,112.0
Kedah,2019-01-01,male,30-34,2542,119.1
Kedah,2019-01-01,male,35-39,986,89.8
Kedah,2019-01-01,male,40-44,440,69.0
Kedah,2019-01-01,male,45-49,316,74.6
Kedah,2019-01-01,male,50-54,221,55.5
Kedah,2019-01-01,male,55-59,200,54.5
Kedah,2019-01-01,male,60-64,170,43.1
Kedah,2019-01-01,male,65+,195,13.3
Kedah,2020-01-01,female,all,16809,28.4
Kedah,2020-01-01,female,< 20,578,1.7
Kedah,2020-01-01,female,20-24,5415,68.1
Kedah,2020-01-01,female,25-29,7010,209.2
Kedah,2020-01-01,female,30-34,1855,147.2
Kedah,2020-01-01,female,35-39,820,103.4
Kedah,2020-01-01,female,40-44,402,58.1
Kedah,2020-01-01,female,45-49,258,32.3
Kedah,2020-01-01,female,50-54,189,17.4
Kedah,2020-01-01,female,55-59,130,10.3
Kedah,2020-01-01,female,60-64,80,4.8
Kedah,2020-01-01,female,65+,72,1.3
Kedah,2020-01-01,male,all,14661,24.4
Kedah,2020-01-01,male,< 20,175,0.5
Kedah,2020-01-01,male,20-24,3149,31.4
Kedah,2020-01-01,male,25-29,6606,114.2
Kedah,2020-01-01,male,30-34,2439,112.3
Kedah,2020-01-01,male,35-39,903,81.8
Kedah,2020-01-01,male,40-44,405,63.5
Kedah,2020-01-01,male,45-49,279,65.7
Kedah,2020-01-01,male,50-54,182,46.3
Kedah,2020-01-01,male,55-59,167,45.3
Kedah,2020-01-01,male,60-64,124,30.6
Kedah,2020-01-01,male,65+,232,15.1
Kedah,2021-01-01,female,all,18790,32.2
Kedah,2021-01-01,female,< 20,597,1.7
Kedah,2021-01-01,female,20-24,6165,78.7
Kedah,2021-01-01,female,25-29,7851,237.9
Kedah,2021-01-01,female,30-34,2035,164.0
Kedah,2021-01-01,female,35-39,888,113.7
Kedah,2021-01-01,female,40-44,453,66.5
Kedah,2021-01-01,female,45-49,316,40.2
Kedah,2021-01-01,female,50-54,203,19.0
Kedah,2021-01-01,female,55-59,154,12.4
Kedah,2021-01-01,female,60-64,72,4.4
Kedah,2021-01-01,female,65+,56,1.0
Kedah,2021-01-01,male,all,15958,25.6
Kedah,2021-01-01,male,< 20,163,0.4
Kedah,2021-01-01,male,20-24,3492,33.6
Kedah,2021-01-01,male,25-29,7123,118.8
Kedah,2021-01-01,male,30-34,2654,117.9
Kedah,2021-01-01,male,35-39,1015,88.7
Kedah,2021-01-01,male,40-44,480,72.6
Kedah,2021-01-01,male,45-49,274,62.2
Kedah,2021-01-01,male,50-54,215,52.8
Kedah,2021-01-01,male,55-59,172,45.0
Kedah,2021-01-01,male,60-64,150,35.8
Kedah,2021-01-01,male,65+,220,13.8
Kedah,2022-01-01,female,all,18584,31.7
Kedah,2022-01-01,female,< 20,611,1.8
Kedah,2022-01-01,female,20-24,5597,71.6
Kedah,2022-01-01,female,25-29,7561,229.8
Kedah,2022-01-01,female,30-34,2243,181.3
Kedah,2022-01-01,female,35-39,1019,130.8
Kedah,2022-01-01,female,40-44,535,78.8
Kedah,2022-01-01,female,45-49,368,47.0
Kedah,2022-01-01,female,50-54,282,26.4
Kedah,2022-01-01,female,55-59,165,13.3
Kedah,2022-01-01,female,60-64,105,6.4
Kedah,2022-01-01,female,65+,98,1.7
Kedah,2022-01-01,male,all,15768,25.4
Kedah,2022-01-01,male,< 20,149,0.4
Kedah,2022-01-01,male,20-24,3355,32.4
Kedah,2022-01-01,male,25-29,6716,112.3
Kedah,2022-01-01,male,30-34,2665,118.7
Kedah,2022-01-01,male,35-39,1101,96.5
Kedah,2022-01-01,male,40-44,519,78.7
Kedah,2022-01-01,male,45-49,336,76.5
Kedah,2022-01-01,male,50-54,244,60.0
Kedah,2022-01-01,male,55-59,209,54.9
Kedah,2022-01-01,male,60-64,177,42.3
Kedah,2022-01-01,male,65+,297,18.7
Kelantan,2017-01-01,female,all,17300,32.2
Kelantan,2017-01-01,female,< 20,1063,3.01
Kelantan,2017-01-01,female,20-24,5876,89.95
Kelantan,2017-01-01,female,25-29,7075,281.72
Kelantan,2017-01-01,female,30-34,1661,223.28
Kelantan,2017-01-01,female,35-39,658,132.13
Kelantan,2017-01-01,female,40-44,351,69.46
Kelantan,2017-01-01,female,45-49,226,36.63
Kelantan,2017-01-01,female,50-54,153,18.2
Kelantan,2017-01-01,female,55-59,124,11.83
Kelantan,2017-01-01,female,60-64,64,5.26
Kelantan,2017-01-01,female,65+,49,1.28
Kelantan,2017-01-01,male,all,14974,26.61
Kelantan,2017-01-01,male,< 20,262,0.69
Kelantan,2017-01-01,male,20-24,3177,36.23
Kelantan,2017-01-01,male,25-29,6903,148.95
Kelantan,2017-01-01,male,30-34,2412,139.79
Kelantan,2017-01-01,male,35-39,855,98.12
Kelantan,2017-01-01,male,40-44,445,109.82
Kelantan,2017-01-01,male,45-49,259,100.82
Kelantan,2017-01-01,male,50-54,186,79.52
Kelantan,2017-01-01,male,55-59,141,63.92
Kelantan,2017-01-01,male,60-64,123,52.72
Kelantan,2017-01-01,male,65+,211,22.75
Kelantan,2018-01-01,female,all,16768,30.9
Kelantan,2018-01-01,female,< 20,1049,3.0
Kelantan,2018-01-01,female,20-24,5751,89.3
Kelantan,2018-01-01,female,25-29,6582,234.7
Kelantan,2018-01-01,female,30-34,1597,210.5
Kelantan,2018-01-01,female,35-39,674,131.0
Kelantan,2018-01-01,female,40-44,385,77.1
Kelantan,2018-01-01,female,45-49,275,44.6
Kelantan,2018-01-01,female,50-54,208,24.8
Kelantan,2018-01-01,female,55-59,136,12.7
Kelantan,2018-01-01,female,60-64,66,5.2
Kelantan,2018-01-01,female,65+,45,1.1
Kelantan,2018-01-01,male,all,14700,25.8
Kelantan,2018-01-01,male,< 20,264,0.7
Kelantan,2018-01-01,male,20-24,3105,35.9
Kelantan,2018-01-01,male,25-29,6692,129.1
Kelantan,2018-01-01,male,30-34,2431,137.7
Kelantan,2018-01-01,male,35-39,805,87.6
Kelantan,2018-01-01,male,40-44,398,96.9
Kelantan,2018-01-01,male,45-49,265,103.8
Kelantan,2018-01-01,male,50-54,188,80.9
Kelantan,2018-01-01,male,55-59,183,81.4
Kelantan,2018-01-01,male,60-64,125,51.6
Kelantan,2018-01-01,male,65+,244,25.5
Kelantan,2019-01-01,female,all,16765,30.8
Kelantan,2019-01-01,female,< 20,1130,3.2
Kelantan,2019-01-01,female,20-24,5694,90.6
Kelantan,2019-01-01,female,25-29,6455,213.0
Kelantan,2019-01-01,female,30-34,1714,218.0
Kelantan,2019-01-01,female,35-39,652,123.5
Kelantan,2019-01-01,female,40-44,387,78.0
Kelantan,2019-01-01,female,45-49,288,47.2
Kelantan,2019-01-01,female,50-54,213,25.5
Kelantan,2019-01-01,female,55-59,105,9.6
Kelantan,2019-01-01,female,60-64,77,5.8
Kelantan,2019-01-01,female,65+,50,1.2
Kelantan,2019-01-01,male,all,14530,25.4
Kelantan,2019-01-01,male,< 20,297,0.8
Kelantan,2019-01-01,male,20-24,3116,37.0
Kelantan,2019-01-01,male,25-29,6538,117.4
Kelantan,2019-01-01,male,30-34,2357,128.3
Kelantan,2019-01-01,male,35-39,806,84.7
Kelantan,2019-01-01,male,40-44,425,101.3
Kelantan,2019-01-01,male,45-49,261,103.6
Kelantan,2019-01-01,male,50-54,196,85.1
Kelantan,2019-01-01,male,55-59,183,80.9
Kelantan,2019-01-01,male,60-64,126,50.4
Kelantan,2019-01-01,male,65+,225,22.7
Kelantan,2020-01-01,female,all,16134,29.5
Kelantan,2020-01-01,female,< 20,1077,3.1
Kelantan,2020-01-01,female,20-24,5472,89.6
Kelantan,2020-01-01,female,25-29,6104,192.7
Kelantan,2020-01-01,female,30-34,1632,194.0
Kelantan,2020-01-01,female,35-39,729,135.3
Kelantan,2020-01-01,female,40-44,414,83.5
